k,c,z
2.27455,0.962009,0.932247
2.27337,0.960449,0.927383
2.28322,0.966436,0.940765
2.48648,1.07672,1.1764
2.44442,1.0037,0.921075
2.46126,1.02391,0.982959
2.69971,1.14955,1.24661
2.99126,1.24734,1.34299
3.06905,1.22003,1.1482
3.45584,1.40268,1.50029
3.60446,1.38592,1.29125
3.66519,1.3844,1.22811
3.6356,1.3548,1.14569
3.44489,1.26164,0.975775
3.24059,1.20001,0.926926
3.00338,1.12179,0.851425
2.85364,1.10057,0.899739
2.85677,1.14049,1.04322
2.99578,1.21428,1.1965
2.87969,1.11716,0.935536
2.80825,1.10727,0.96392
2.76209,1.09984,0.979036
2.53172,0.978667,0.756036
2.3606,0.942468,0.77535
2.34767,0.981109,0.931302
2.38326,1.00439,0.986806
2.60045,1.11471,1.2093
2.64821,1.08877,1.0485
2.5658,1.03062,0.905713
2.51097,1.02092,0.921606
2.44363,0.996655,0.895505
2.63148,1.11723,1.18478
2.83922,1.18384,1.23785
3.01779,1.22938,1.2371
3.1916,1.27857,1.25941
3.38853,1.33982,1.31046
3.59402,1.39876,1.34738
3.6205,1.36339,1.18934
3.66471,1.38097,1.21559
3.60518,1.33912,1.11498
3.36199,1.22452,0.916303
3.32072,1.2644,1.08435
3.20255,1.21131,0.994977
3.11086,1.19152,1.00204
2.99009,1.1487,0.953149
2.87296,1.11486,0.933884
2.61402,0.996363,0.748024
2.67829,1.10178,1.06999
2.76124,1.13149,1.103
2.87339,1.17182,1.15038
2.92607,1.17305,1.10226
2.95411,1.17539,1.08402
2.79755,1.0818,0.882437
2.72417,1.08144,0.945802
2.44337,0.934405,0.686439
2.19428,0.865151,0.65764
1.99353,0.813576,0.657325
1.86511,0.793022,0.703983
1.68765,0.710127,0.590741
1.5224,0.659107,0.564343
1.4779,0.687926,0.709368
1.50464,0.715342,0.792053
1.56826,0.746727,0.847813
1.53533,0.70495,0.719133
1.52397,0.710336,0.74969
1.433,0.647218,0.61575
1.39683,0.66017,0.69274
1.48141,0.724021,0.857725
1.47788,0.694138,0.73986
1.52907,0.73039,0.82595
1.53598,0.718468,0.769859
1.50237,0.694361,0.712854
1.62173,0.780409,0.928515
1.84399,0.878453,1.08499
2.11524,0.976786,1.18644
2.14166,0.925919,0.930151
2.0077,0.8359,0.726733
2.09486,0.926568,0.98671
2.27167,1.00403,1.11215
2.37453,1.01832,1.054
2.33878,0.972049,0.905466
2.34059,0.98246,0.944135
2.22336,0.912632,0.797004
2.17364,0.916091,0.857173
2.2811,0.990291,1.04171
2.31032,0.979927,0.966011
2.29242,0.96208,0.914041
2.3602,1.00525,1.01528
2.34053,0.976808,0.922099
2.26547,0.938174,0.849882
2.31758,0.988058,0.991362
2.57332,1.11531,1.2442
2.91974,1.23859,1.38722
2.87694,1.13453,1.00151
3.07763,1.25256,1.26858
3.20495,1.27135,1.2174
3.208,1.24277,1.10374
3.21209,1.24451,1.10643
3.1513,1.21096,1.03693
3.12661,1.21286,1.06561
3.00275,1.15164,0.952663
2.909,1.13164,0.962391
2.92814,1.16562,1.07123
2.98435,1.19115,1.11589
3.0577,1.21664,1.14428
3.11911,1.23153,1.14323
3.00319,1.15379,0.95957
2.77607,1.05593,0.813218
2.57953,1.0041,0.799067
2.43431,0.97293,0.817024
2.26908,0.914111,0.759517
2.10609,0.861685,0.723413
2.01254,0.85189,0.775914
1.98246,0.859445,0.836356
2.01007,0.883734,0.903814
2.09687,0.92682,0.984495
2.35758,1.05026,1.21481
2.40975,1.01683,1.00925
2.39262,0.993831,0.935237
2.51546,1.06662,1.09951
2.71054,1.14274,1.20492
3.03647,1.26851,1.38354
3.43544,1.39743,1.50609
3.97206,1.57373,1.69768
4.10764,1.51346,1.33825
4.0702,1.46884,1.20494
3.71764,1.29466,0.892379
3.39618,1.21329,0.857812
3.39804,1.29674,1.13547
3.15465,1.16472,0.875869
2.99223,1.13849,0.915551
2.83186,1.09115,0.885858
2.64058,1.02431,0.817277
2.33287,0.889258,0.632072
2.15236,0.873792,0.719659
2.04007,0.855582,0.762392
1.96053,0.838231,0.777711
1.96879,0.865408,0.875016
1.98015,0.86949,0.879225
2.03533,0.899001,0.938346
2.17727,0.965985,1.0584
2.38087,1.04428,1.15904
2.58298,1.10574,1.19127
2.80249,1.1756,1.24371
2.78098,1.11162,1.00549
2.81184,1.13397,1.06169
3.04503,1.25052,1.29481
3.32001,1.33802,1.37347
3.70971,1.47192,1.53237
4.07913,1.56432,1.55387
4.11682,1.49605,1.26441
4.12269,1.49399,1.25199
4.22996,1.54681,1.35408
4.10986,1.45852,1.14205
3.90763,1.38563,1.04819
3.74766,1.35343,1.05628
3.62391,1.32869,1.06523
3.44871,1.26681,0.990431
3.41037,1.29054,1.10258
3.10113,1.13095,0.808827
3.22461,1.2765,1.2178
3.39924,1.33794,1.29195
3.261,1.22257,0.985188
3.41807,1.33978,1.28006
3.76877,1.48048,1.50578
4.06793,1.54582,1.49005
4.19388,1.53857,1.35492
4.41654,1.6215,1.47524
4.27497,1.49427,1.14405
4.27931,1.5352,1.27762
4.06921,1.42577,1.06562
3.75798,1.31692,0.935016
3.66709,1.34882,1.1005
3.32332,1.18627,0.825135
2.9603,1.07347,0.732263
2.61447,0.971419,0.667635
2.32535,0.896357,0.651065
2.14329,0.870005,0.715351
1.96578,0.810253,0.672944
